公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
3C,8D,TC,2C,TH,63,5C,8C,KS,5S,1
JC,8C,5H,AS,6S,27,5S,KH,TH,TC,0
6H,9H,AC,8D,2S,186,8S,QD,3D,6C,1
7H,QC,6D,JC,3C,260,3S,7D,2D,3H,1
4C,5H,7D,QC,7S,279,8H,3C,4H,5D,0
7C,4H,2D,9H,TH,10,JD,TC,6H,KS,1
7D,JC,7C,2C,9S,42,2D,JH,8H,2S,1
6H,3D,TD,KH,3C,397,JC,AC,7C,8S,1
5S,9H,AS,8C,6D,355,8D,6H,QD,QH,1
KH,4S,3H,2D,7C,107,JH,QC,7H,9H,0
4D,8C,QD,JH,JC,219,AS,JS,9H,2S,1
QC,KH,3H,9C,4D,322,5S,TC,TH,5C,0
KS,8S,TD,AH,QH,204,AC,3C,3H,KH,1
AC,9H,3S,KH,6H,333,3C,AS,QS,8H,1
9S,2C,QC,7C,QS,386,AD,9H,TC,3S,1
6D,6S,5S,JD,AC,291,JH,3C,7C,QD,1
QC,6D,JC,KH,2H,19,QS,5S,TS,AS,0
QC,2D,AS,JH,5C,435,3C,3S,JS,JD,0
7S,4C,QC,5S,9S,469,JC,6S,JH,7H,0
QH,6D,5D,7D,4H,468,KH,TC,7H,QD,0
7C,TC,3S,JD,7S,230,TS,QC,2H,5D,1
3D,5H,JS,9S,8D,300,AD,7S,AH,KH,0
2S,KH,JH,3C,3S,451,9H,TS,5D,6D,1
KC,8C,7D,AD,9C,137,5C,3C,2C,3S,1
QS,KS,6D,2D,JH,333,9C,2C,4S,4H,0
4S,9S,KH,5H,5S,282,7H,AC,5D,AS,0
4D,QC,JH,6H,6C,109,AS,6S,TD,5H,1
7S,4H,9C,2S,JC,42,TC,4C,AS,6S,1
6D,6H,4H,2S,KH,182,KS,3H,3S,4C,1
3H,9D,KD,3D,2H,419,2C,3C,5C,5H,1
JS,QD,JC,8C,KD,312,4C,JD,3C,5C,1
9D,2D,5H,4H,8D,341,JD,2H,AH,6H,1
TS,9H,QH,JS,KS,176,3D,KD,JC,5S,0
9D,3C,6S,2C,AS,482,KD,KH,TC,8C,1
5S,TS,AD,KS,7S,42,JD,AS,2S,JH,1
2D,3C,TC,5D,KC,488,AC,KH,QH,QD,1
KD,4H,2D,3S,AD,117,7H,KH,9S,TD,1
3C,2H,JC,6C,AD,309,6D,9C,QC,8D,1
QH,8C,2S,6D,JS,403,6C,4D,AS,5H,1
AD,9H,7H,5C,TC,255,KH,4D,JD,7S,0
4S,3D,TH,AH,QC,484,7H,5H,7C,8S,0
8D,7S,KS,8S,6H,462,7C,2S,5S,AC,1
7D,8H,JD,QH,9H,37,KD,4C,AH,5S,0
JC,AD,5S,5C,JS,278,TD,QS,KH,3D,0
KH,5S,2H,AC,9D,129,6S,KS,9C,6D,1
7C,6S,4S,7S,QD,117,QS,TS,TH,2C,1
3H,7S,JS,3D,TS,103,KD,8C,QS,2C,1
KC,AS,2H,2D,8C,203,QS,4S,7D,9C,1
QH,9D,2S,KS,4H,479,TC,6C,5D,8S,1
4H,8D,KD,2S,8S,64,6H,JD,2D,5H,0
TH,6S,TD,AD,AS,179,9D,JS,8C,KS,0
KC,TS,4H,TD,6S,294,QS,KH,4S,7C,1
5S,6H,QS,KS,KH,118,JS,2D,QD,4H,0
4C,AH,7H,4S,JS,61,TS,TC,7D,8S,1
2D,KD,2H,8S,TH,496,5D,9C,7D,JH,0
6S,AH,3D,QD,AS,62,6D,2S,8S,AC,0
AC,JC,8D,AS,6H,192,8C,8H,5H,JS,1
6S,JC,TS,5C,3D,461,AD,8H,KH,5D,0
8H,6D,5D,2D,4S,125,4H,7H,JH,3C,1
QH,6D,KD,QS,TD,140,9C,KS,9H,2H,1
AC,2H,3H,JD,TS,352,JH,6D,4D,KC,1
9S,7D,6D,4D,2H,457,4S,8D,TC,6C,0
AS,JC,QS,3H,2D,250,AH,7S,8D,KD,1
8D,8H,7H,6C,4C,323,5D,QC,JD,QD,1
6C,TD,KS,6D,8C,317,AD,TS,KD,QD,0
5C,7H,5D,AC,KH,218,8D,8C,5S,AH,0
QD,TH,2C,5D,7C,82,6D,JD,3C,KC,0
AD,8S,2C,KS,KH,381,9H,6H,8C,8H,0
JH,3D,5H,TD,5C,313,9H,AD,7S,AS,0
7D,KD,5H,5C,JH,235,4H,TS,QH,5S,0
4C,KH,TS,8D,KS,320,4H,3C,6D,9D,1
TS,JC,7S,JS,9D,67,8C,2H,JD,QS,1
TS,3H,2S,JC,TC,202,KD,5S,9H,8D,1
3S,7C,3C,6S,QC,71,QD,8S,2H,6H,1
8S,9D,AC,8D,9C,95,JC,8C,QH,TS,1
AD,8S,JD,6S,9D,331,5S,2H,3S,2D,0
4D,7D,3H,TS,3D,205,9C,KC,2D,JS,1
3D,AC,QH,2D,9C,220,QC,QS,JH,KC,1
4H,QS,9H,JH,2H,447,QH,4S,AH,4C,0
QH,AS,6C,JC,4D,247,AH,6S,3S,KD,1
2C,5C,4S,6S,JS,230,3S,KC,QD,6H,1
2C,8S,2S,4C,9C,469,8H,7S,AS,JH,1
7C,2S,AS,3D,JS,18,JC,AC,7S,9D,1
8S,7H,9H,AH,JD,208,KD,2H,KC,5S,0
QC,5H,JS,2S,KD,25,8H,9D,7S,3C,1
8D,TC,9D,6H,TH,31,8S,KC,3S,2S,1
5C,QS,KH,7H,5D,77,3S,KC,8D,4C,1
7H,AD,QS,8C,5D,390,JD,JH,AC,TD,0
KS,6H,AD,JS,2H,291,8H,JD,9H,7H,1
4H,6D,8S,7S,6S,146,3S,4D,AH,3H,1
3D,6D,5H,JH,JC,421,KS,8H,7H,5C,0
QS,AD,4C,3C,AS,300,QD,JC,5S,QH,1
KS,6S,TD,AC,JS,482,8S,4D,6C,3D,0
4S,KC,6C,2D,6D,285,9D,2H,4H,7D,0
4S,QS,6D,5C,KC,64,7S,3H,JH,7C,1
TS,QH,6C,JD,6D,245,7C,TD,2D,8H,1
6S,2H,JS,JD,AH,409,7H,3S,4C,KC,0
8D,TS,AC,AH,6S,372,AS,5D,5C,7C,1
QS,5C,3S,QC,6S,267,9S,7D,AC,KH,0
KD,9S,9H,2S,8D,344,8H,6H,3H,JH,1
6H,3S,QS,4C,KH,289,7D,4S,TC,3H,1
4S,2S,QD,9C,6S,151,3D,TD,6D,5S,0
6H,9D,KS,6C,3D,332,3S,2C,AD,8H,1
AS,7C,8D,KS,KC,34,9S,JC,5C,AH,0
3H,QD,TD,7D,9C,273,5C,2S,TH,8D,0
JD,TH,TD,TC,7D,419,7C,AS,8H,KC,1
AS,3C,4H,QC,5D,57,JD,3H,7H,AH,0
KD,6S,5S,3S,4H,380,2D,QC,JD,3C,1
QD,5S,4S,6S,5H,30,JH,QC,3H,5D,0
QH,5H,2C,7H,3S,241,4S,KC,QD,9S,0
9C,6S,4C,8S,KH,122,3C,8C,QD,7S,1
3H,2H,3C,6S,9D,57,JC,JH,QC,JD,1
8S,2S,3D,KH,6H,303,6S,2D,AH,4C,1
JC,AH,6C,6H,KD,323,3D,3C,QD,3H,1
QD,4C,2H,7C,4D,307,JD,KD,TC,2S,0
9H,8S,4H,AS,3S,201,QS,5H,JD,8D,0
AC,6H,2H,QS,2C,196,5H,KS,8D,JS,1
2H,9D,JD,TS,6D,457,9S,5H,QH,8C,0
2H,9C,QH,6H,3D,396,2C,2S,8C,3C,1
JC,KC,TC,6D,9S,172,QC,9D,AC,JS,1
3H,QC,JS,5S,7D,431,TD,4S,5H,TS,0
6D,8H,3S,8S,5S,265,3D,JC,AS,3H,0
7H,8H,6S,4S,8C,309,7S,6H,JD,TD,1
6D,6H,QH,TS,3H,235,TC,4H,6S,9D,0
TS,9H,4S,9D,4H,376,3S,2S,5D,6S,0
8D,6C,QC,TS,AH,327,JH,QH,7C,QD,1
4H,8H,QD,TS,3H,219,8D,2D,7C,9C,1
KD,JD,7S,6H,QC,348,8D,KC,7D,QH,0
8D,2D,8S,3S,TH,388,KC,JC,QD,JH,1
8S,7S,9S,JH,8C,301,KH,KC,TS,2D,0
9D,JC,4D,AC,9C,339,7H,JH,3H,2H,1
4D,2D,KD,8C,KS,403,9H,9S,5S,JH,1
JC,KC,5C,9D,3D,163,TC,JH,2D,6D,1
2C,QC,8H,TS,4S,58,6S,AH,QH,8D,0
2D,QH,4D,TH,3D,81,9C,AH,2C,8H,0
6D,QD,2C,2H,QS,226,9D,3D,7H,6C,0
JD,KS,QD,KH,4C,436,6D,6H,4H,9D,1
TH,3D,QD,3S,9S,400,5S,9C,QH,7C,0
3D,TH,TC,KS,5H,227,5D,JH,JD,4D,1
JH,8D,2D,7D,3S,91,5C,JC,7S,TH,1
4C,9H,TS,2D,6D,177,TC,5H,6H,4D,0
QH,QD,JH,9S,QC,446,3D,TS,TC,4C,0
JH,9C,8H,4H,AC,104,5C,3C,3S,2C,1
KC,AD,2S,8H,4H,476,AH,5D,6D,2D,1
5C,6S,5S,TD,5H,338,9C,KC,2S,KH,0
7C,5D,5S,TD,6C,118,4H,2S,QC,AD,0
AS,3D,9H,AH,6S,423,4C,KH,7D,2D,1
2D,JD,5D,4D,QS,450,AH,AC,QH,6H,1
KS,9H,TC,6S,QS,355,KC,8D,AC,5C,1
4S,6C,7C,7H,7D,75,KD,AS,3H,7S,0
7D,6D,4C,5C,3C,441,TC,6H,8C,2C,0
QS,QD,AD,3H,4S,420,JD,2C,3D,TH,0
9S,6D,2C,8S,QC,210,3D,7D,4C,TS,0
JD,9C,2H,AS,3S,88,7C,6S,2S,KC,0
4S,QS,KH,8D,TH,214,JH,6S,QH,JD,0
3S,KS,5H,9D,2S,400,3D,TS,2D,KD,0
JS,TD,JD,5C,7C,55,QD,9S,KC,AD,0
8S,QD,9C,5S,7S,221,3S,TH,KC,8D,0
9C,JD,2D,QS,2S,291,7C,3H,5D,4S,0
KH,QS,JS,QD,5C,94,6D,2C,JD,8D,0
4C,TD,5D,9C,JH,422,TC,3S,8S,6H,1
8D,TH,5H,9H,4C,470,JH,7S,2C,KS,1
3H,9H,8C,JC,2H,459,2C,2S,6D,7H,1
4D,8S,2D,KC,3H,197,KH,QD,8C,QC,1
9C,3D,9D,QH,6H,498,4H,QS,QC,TH,0
AD,3D,AS,QH,2C,230,4H,8C,KC,4C,0
JD,AD,6D,6H,3S,247,4H,QD,8H,AC,0
2H,KC,6C,KH,9D,128,7S,5S,9C,3H,0
6S,JD,QS,8H,TS,131,8D,KS,3H,AC,1
TH,JH,5S,7H,2C,230,QD,KS,7S,JC,0
6S,7C,KH,2D,3H,137,5H,KS,KD,7S,0
8C,4H,TH,TD,KC,147,8H,6S,QC,9S,1
2S,4S,2C,AH,9C,76,TC,5H,KC,5C,0
8D,TD,8S,QS,5C,255,9S,QD,AD,4C,1
2H,JH,AS,TD,8C,233,3C,7S,7C,AD,0
AS,5C,4H,TC,4C,317,3S,JS,JH,8C,0
TH,KC,2H,8S,JC,335,QS,8C,KS,4H,0
JS,3D,QS,2S,JC,238,JD,KH,KC,5H,1
8S,2D,5H,3D,KH,214,AC,8H,5D,7S,1
KS,9H,KC,3H,7D,472,2D,6H,7H,3C,0
TH,8C,3S,AD,JD,300,5D,6S,4D,KD,0
5D,9C,8H,KC,QH,215,JD,KH,JC,8S,1
5C,7S,5S,QH,KS,334,5D,KC,9S,AC,1
7S,2S,QD,3S,9S,114,2D,3C,JC,5D,1
2C,JS,5C,9H,3H,188,6H,4D,TC,KD,1
2H,QC,TS,6S,7D,369,JS,8D,7S,9C,0
TC,4C,7S,2H,9C,493,6H,JS,JH,9S,0
3S,2D,4C,JH,7C,331,QH,KH,9H,9S,0
TC,8D,TS,7D,3C,85,9D,TD,5D,7H,1
QS,2D,QC,5D,TC,84,4D,8H,4H,3H,1
JC,6D,4D,9C,2D,126,QH,7S,QS,8H,0
QS,3C,JH,TS,4C,288,JD,4S,9C,9S,1
KS,2D,7S,QC,TC,249,TS,8C,9S,6C,1
TS,9H,8S,4S,QC,307,JD,3C,6H,8D,1
3C,2D,TS,8S,JH,148,JS,7S,7D,JD,0
8D,4C,7H,7S,8S,229,4D,KH,KD,AC,0
QH,3D,7C,8C,9S,138,2H,7D,3C,9D,0
7S,KH,3C,8H,8C,266,KD,QS,9D,KS,1
JC,8D,QH,TH,AH,147,5D,2H,KS,4H,0
QD,8H,JS,QC,6H,377,2H,4D,4H,QS,0
2S,6D,JD,4H,5D,474,3H,QD,JS,9C,1
QH,JC,AD,9C,7S,12,9H,AH,3C,5D,1
2S,6S,3C,5H,JS,266,JH,AH,QS,9C,1
AH,KS,AC,9H,TC,57,5C,7C,6H,6C,0
AC,7S,9D,4D,4C,443,3H,8C,JD,9H,0
2H,4H,7D,JC,TS,125,KC,7C,QD,8D,1
6S,8C,KH,QS,2S,424,6D,KD,QD,5S,1
3D,9S,8D,7D,6C,18,5D,TD,JS,JH,1
2D,JC,5C,8S,8H,33,4C,KD,8D,QH,0
9C,9D,TC,9H,8C,78,AH,TS,AC,AD,0
AH,5S,4D,AD,6C,215,AS,7S,QD,9C,1
QC,9C,QD,7S,5C,418,AD,6S,5H,4S,0
5C,8D,QC,2H,KS,488,6S,7H,5D,4H,0
JD,4H,AD,8H,2S,294,KH,7C,JS,4S,0
8S,6D,KC,JD,3S,197,2S,KH,KD,JH,0
4D,JD,8C,TH,QS,353,5D,KD,6D,AC,0
7S,7H,JH,6D,7D,233,2H,2S,5S,KH,1
2C,2S,TC,KS,9C,167,9H,9D,8H,3D,1
KD,AD,2D,AC,JD,392,3C,7H,3H,5C,1
KD,JS,4C,2D,8D,322,KS,QH,9H,KC,1
AC,7D,7C,2S,3S,449,JS,TH,JC,QC,0
3D,7S,3S,8D,8H,291,JC,7H,3H,KS,0
4H,6D,5C,TH,AD,195,6C,KH,5H,9H,1
7C,8D,5D,6S,QS,282,QD,QH,AC,7D,1
2S,AD,3D,AH,2C,215,5H,6D,JD,8S,0
KS,3S,6H,TH,QS,315,KC,AH,TS,5H,1
9S,JC,7D,3C,3D,280,3S,KH,AD,3H,0
AH,QH,KD,2C,6C,455,6D,3H,JC,5H,1
AH,2C,8S,7S,3D,95,6S,AS,4D,JH,1
TH,QH,9S,6H,9D,143,4D,QS,AH,TC,1
5H,TD,9H,6D,4S,371,4D,3D,AH,QC,1
7D,7S,KS,TH,4D,72,2S,5S,JS,7H,0
TH,7D,5H,3H,JH,489,2D,TD,KD,TS,0
3S,TD,2C,7H,AC,158,7D,9D,6C,TH,0
9H,4D,7C,KC,5H,334,6D,8D,3S,JH,1
2C,7H,7C,QC,7S,384,9S,5D,6H,4S,1
2D,KS,3D,JH,AD,30,5S,KC,6H,6S,1
3H,8H,9D,QC,5C,408,2C,KD,4C,4H,0
QD,8C,9D,7D,AD,245,AH,JC,TD,TC,0
7D,2C,4D,7C,TD,467,6H,TC,KD,9S,1
6H,8H,4S,2H,2D,394,KC,JD,7S,6D,0
7S,8H,JH,7C,4H,226,AS,TS,4S,3D,0
JD,2C,6C,2H,5H,112,QC,AS,TD,2S,0
3H,9D,8H,TD,9H,205,KS,7C,8S,AD,0
8H,8C,QD,AC,2C,95,3C,KC,AH,JH,1
5D,7D,TD,4D,7H,267,5H,6H,TC,TS,0
QD,AS,7C,8D,QS,416,JH,9H,6H,TD,1
3C,AD,8C,4C,TC,198,AS,7D,8S,4S,0
8C,QS,3C,8D,7S,88,AC,8S,KD,5C,1
4S,TC,4D,7D,QD,354,KC,7H,6D,6S,1
KH,6S,9H,5D,7H,87,JS,7C,7S,KC,0
2C,7S,6C,KH,5C,62,QH,8S,3D,QC,1
6H,AH,5S,QH,9C,243,9H,6S,KS,3H,1
6H,KS,7H,4S,3D,141,3C,TC,8S,3S,1
7H,4H,QC,TS,4C,439,8H,QD,JD,6H,1
2C,KC,AC,5C,JD,149,KD,JH,KH,7H,1
7D,5D,8C,TS,KH,146,TC,3D,4C,JS,1
2C,AC,7H,8D,5S,186,2H,TH,QD,6S,1
QC,QH,5H,6C,JC,175,9C,4H,9S,5D,0
KC,6H,6D,8C,QS,308,JC,7S,2H,7D,1
AC,AS,3H,4H,JH,444,4S,5C,3C,JD,0
JH,4S,TD,6S,4D,100,8C,9S,3D,JC,0
8S,KD,AH,3D,5H,232,9H,JS,2C,KC,0
9C,2C,3D,7H,7D,426,6D,TC,4D,QS,0
QH,5S,2C,6S,QD,11,5H,TC,8D,4H,1
5D,3D,JH,2S,KC,52,4S,AC,7H,9D,1
8D,AD,9H,QD,6C,70,TS,4D,7C,4S,1
8S,QS,JC,3S,9H,490,4C,KS,AS,9D,0
JH,KH,8S,3C,TS,303,9S,AC,9C,KC,0
KD,3C,QC,QD,7C,11,7D,5D,8D,TH,1
QH,9H,QD,8H,6H,185,JD,8C,TS,6S,1
KC,TH,4H,QH,4C,413,9H,5S,2D,8C,0
6C,QD,KS,TS,9C,99,TC,3D,4H,7C,1
QH,8D,3D,QS,9C,79,3H,7D,TH,6C,1
AS,4S,TC,QC,QD,249,5C,3D,JH,QH,0
5S,3C,AD,TC,2C,474,5C,7S,6C,AH,0
JH,9C,7S,9H,TH,171,KS,QC,8H,7H,0
JC,TH,5S,7S,AS,31,JS,6H,QS,QD,0
9C,AD,9H,JD,AH,147,7S,JC,8D,3S,1
5D,5H,3C,KD,8S,128,KC,9C,TC,2S,1
KC,9S,AC,3S,JC,30,JD,AS,6H,TS,1
8D,QC,TC,7S,8S,209,TS,3C,JC,7C,1
5D,JC,8H,3H,TC,298,KS,7D,JD,5H,0
6H,2C,7C,JC,KH,487,7H,AH,8H,6D,1
3D,4C,7D,8H,4S,41,3S,7S,3C,TD,1
8D,4H,3H,QD,JD,200,8S,6S,AS,JS,0
8H,QS,5D,QC,9C,396,9S,7C,JS,AC,1
5S,AS,9H,QD,JC,375,4C,QS,QH,6H,0
2C,4H,9H,7D,4D,95,KD,6H,7C,6D,0
6D,8H,JH,6S,AC,291,9S,4C,JS,7D,0
2H,2D,QH,7H,2C,269,AS,6C,KD,QS,0
6H,2C,JS,5C,6C,471,TD,4C,9C,7S,1
7D,AS,TC,2S,TH,247,AH,5H,6D,AD,0
6C,3H,6D,TC,JH,180,3S,4C,9D,8H,1
7H,9C,7C,TD,JD,214,KS,9S,2C,3H,1
JS,3S,2D,6H,5H,310,5S,QH,5C,AS,0
4C,8C,JD,JC,JH,207,JS,QS,9H,QH,1
AD,4C,3C,2C,5C,45,TC,TD,4D,AH,1
9H,JH,QS,6S,6C,453,8S,KH,8H,4C,1
AH,3C,QS,JS,2H,295,9C,AD,6S,KS,1
KC,2S,9D,TD,JS,240,JD,AS,QC,6D,0
TH,3C,AS,TD,8C,479,7H,TS,5H,JD,1
QH,AC,9H,8S,4H,92,TH,8C,JH,KD,1
8D,KS,9S,QD,AH,61,6S,TD,2C,8H,0
2D,8H,TD,KS,7C,314,3D,AC,8C,6C,0
7C,QC,AH,AD,6H,85,KH,6C,JD,TD,1
5S,KH,KC,TH,KS,165,7D,JD,3S,9D,1
KH,JC,AD,TD,KC,127,4C,AS,5S,3D,1
7D,3D,4D,2S,9S,58,2H,KC,8H,8S,0
5D,9H,QH,AS,4H,293,JD,KH,KS,6C,1
8C,KH,4D,TC,7D,373,AC,3H,JC,JD,0
JS,AD,4S,2S,TH,46,7H,3C,TD,6C,0
TS,TD,4D,JH,JD,100,7S,AD,KS,9H,1
QS,TD,8C,QH,3H,429,5C,7S,KD,9C,0
2D,QD,4H,3H,8H,20,9S,TS,3S,QH,0
8D,7D,2C,KD,5H,96,7H,9S,QC,4C,1
6C,6D,7D,KH,TC,387,3H,QC,2H,AD,0
3S,8S,6S,QH,9D,355,8C,4C,3H,KD,1
5S,8H,5C,7D,7C,58,4D,KC,QD,6S,1
KD,4S,6D,5C,8H,165,8S,KH,3C,4D,1
5D,2D,4S,7D,JD,59,AD,KD,4C,2H,1
6D,8D,AC,5D,5C,71,6S,2H,2S,JH,1
JC,TD,AH,KH,AC,28,TS,4D,5C,6C,1
3D,JD,QH,5C,3S,68,3C,8S,TD,JC,1
4C,JC,7H,9D,KS,182,5C,AD,QD,3C,1
QS,AC,6C,KC,8D,385,JS,QH,7S,4C,1
QH,QC,5H,8C,2D,468,JH,QS,5C,6C,1
TC,5H,8D,QC,6H,299,4D,AH,9C,9D,0
KS,QC,3S,8S,2H,184,8D,QS,JS,QD,1
2H,QS,8H,5S,QH,151,JH,AS,QD,8C,0
TD,AS,2C,2S,QD,393,KH,2D,TH,4S,1
3C,AD,8H,6C,8D,269,4S,8C,QC,JS,1
TD,AS,2C,9S,9D,415,AD,2H,7H,7D,1
AD,AH,5D,6H,9D,396,JD,KD,3S,6C,1
QS,JS,8H,4S,7S,144,JC,7C,9H,AD,1
JH,4D,4H,8H,3C,140,JS,TC,6C,3H,1
TD,KH,9S,4H,AC,377,JC,9C,AD,5D,0
AH,9C,7D,3S,6D,219,4S,6H,8S,8C,0
AD,8D,KD,9D,7H,127,9H,AH,JH,4H,1
8H,TC,4C,9H,KS,297,6S,4D,4S,3S,0
7H,KC,3H,7C,TC,103,7S,7D,2C,9C,1
JH,JS,5H,KC,AC,433,4H,4C,7H,QC,1
KH,7H,5H,2C,QS,353,2H,AH,QH,9H,1
5D,7H,8D,QD,8C,12,KD,TH,QS,JC,0
JS,6S,2C,QH,KC,98,4S,9H,JC,2D,0
7D,9D,5D,JD,KD,272,QC,KS,QH,8H,1
AD,KH,8S,6C,5H,365,6H,TS,TH,7C,1
JD,QC,TD,8D,AH,196,QD,6D,7D,3S,1
JH,TD,5C,6C,9H,153,JS,QH,4C,KD,1
7D,QH,AS,AC,9H,330,2S,4H,TS,9C,0
6S,6D,3H,KS,QC,399,7D,4D,9S,6H,0
3H,4H,4C,5C,JD,245,2S,4S,5D,6D,1
3H,7S,KS,9D,8C,353,9H,6D,4C,2S,1
QH,2S,6D,QS,7C,385,7H,JC,9S,JH,1
9C,7H,5S,4C,9S,461,TC,JH,JD,AC,0
2H,4D,JS,6C,8C,414,2D,3D,9S,8D,0
3C,2D,QD,6C,KC,484,4C,9S,5D,6S,0
9D,9C,2H,AS,7H,480,4C,AC,KD,3H,1
5H,7H,QD,AH,3C,86,AC,7C,8D,9H,1
5H,5C,QD,8H,JD,483,8D,3C,9D,6S,1
5D,5C,KH,2C,4S,374,JS,6S,8C,8S,0
9D,QS,6D,5C,KD,206,3H,8H,5S,TD,0
5S,8S,3S,TC,9C,152,9D,KD,KS,6D,1
3H,TS,KC,TC,5C,293,7C,JH,KH,6D,0
8H,AS,6H,5D,2H,12,QS,JH,QD,3S,1
KD,AS,8D,6C,4C,473,9C,8H,4S,JD,1
9C,JC,3S,6S,QS,68,2S,6D,2C,8D,1
9D,7D,QH,TD,KH,220,TS,4C,AC,6C,1
KH,8H,3D,7D,4S,155,JC,QD,8C,2S,0
3C,8S,4D,8D,6D,238,7S,TC,4S,KC,0
9D,6H,8D,QD,3H,119,5H,7D,QH,5C,1
KC,KD,AS,KH,6H,428,JC,7H,QC,3H,0
9D,AH,7H,2H,AS,149,TD,QH,5H,5C,0
JD,8C,9S,3D,4C,322,5D,2C,6C,KS,0
2H,TC,4S,QH,2D,340,JC,KD,6D,TD,0
2H,JH,TD,2C,5S,229,6D,KD,2D,JS,0
9S,JS,7D,8D,TS,444,JH,TD,2C,JD,0
QC,KH,3D,6H,7H,35,5D,2C,8D,KC,0
8C,QC,AH,AD,9S,481,7D,3D,9C,5S,0
KD,TD,4D,2C,JC,139,3S,TH,6D,KS,0
5C,TC,KD,QH,KC,355,TH,3H,8C,3C,0
2S,4C,7C,AD,3S,291,2D,3C,3D,TS,1
4S,3C,JS,6S,QH,354,7H,8H,4H,7S,0
7D,6D,AC,7H,2D,143,4C,6H,QC,KS,1
7H,TD,AH,6D,KS,226,6H,QC,9C,QD,1
7C,5D,KC,8C,KS,172,3H,KH,3D,4D,1
7D,QH,2S,TD,4C,163,AC,2C,8H,KD,1
AC,2H,6D,TS,6H,258,KH,AD,5D,4D,1
7C,5S,TC,JD,4S,61,2H,9C,8D,AH,0
QD,2C,8D,9H,7C,222,JD,2S,3D,2H,1
QH,3C,3D,JH,8H,320,QS,AH,QD,7S,1
2H,AS,KS,5H,KC,167,6C,JH,6D,6H,0
TS,TH,AS,QC,AC,190,3D,5C,KC,4S,0
AD,8H,JS,TH,KS,282,KH,8D,6D,5S,1
3D,4S,AH,AC,8H,453,AD,5D,JH,5S,1
5S,6D,9S,4H,4D,155,JC,JS,KD,4C,0
3C,6H,9C,8D,8S,273,TC,2H,KC,JS,0
4D,TS,7H,QS,5C,81,AH,2D,9D,5S,0
3D,2H,5H,3C,6C,379,TD,3H,7S,8D,1
QH,TS,2C,3C,8S,259,4C,5S,5H,TH,0
JH,2H,TD,7S,5D,495,6S,KD,3D,6C,1
3H,KC,TH,AD,3S,347,6H,5C,TS,9H,0
9H,5H,TD,KS,2S,224,4S,KD,8H,3D,1
5D,2C,TD,4D,7D,363,9S,5H,7S,TS,0
JC,9S,QC,3C,2S,214,KD,8C,3S,5C,0
KD,JS,5C,KC,9S,150,5D,TC,9C,9D,0
TH,KS,8H,5H,5C,399,QD,4D,6C,2S,1
2S,TD,QS,AS,3S,103,KS,3C,KD,5S,0
3C,8H,5S,JS,TH,403,KC,AC,6S,6H,0
8H,4H,JD,KC,4C,60,6H,7H,8D,7D,0
4H,AC,TH,3C,6D,206,2H,JD,8H,AD,0
AH,2D,JS,6S,7D,459,7S,AD,2C,QH,1
7S,4D,JD,7H,3H,44,KH,5D,2D,6S,1
2S,4S,QS,QH,6D,463,4D,8C,TC,3C,1
AC,8D,7D,9D,JC,150,4S,AD,4C,2H,1
8S,7D,AD,4D,4S,168,3D,KD,9D,5S,1
QD,6H,4C,9S,JC,292,6S,JH,7C,KC,1
2H,3C,AS,7C,TH,207,4D,AD,TC,5D,1
2H,9D,8S,6S,9H,277,4S,3D,2S,QC,0
2D,7H,4S,KC,QC,212,7C,JS,8S,6S,1
7H,8D,AC,2C,6D,230,5H,KC,QD,AH,0
4C,6H,KH,JC,JD,293,6D,9H,KD,KC,0
8D,TD,6C,AC,QC,298,9D,TC,AD,6H,0
KS,5H,5D,3D,JS,161,2S,6D,2H,AC,0
TC,7C,AS,AD,8D,213,KS,7D,5H,3D,1
6H,QS,TS,7H,2S,25,JD,2C,4D,JC,1
QC,TD,JC,5S,5C,289,2C,8H,9C,3H,0
AS,6D,4H,JC,7C,478,TS,7H,JD,JS,0
JC,TH,6D,9H,5C,59,TC,8C,7D,2H,1
KS,3S,AH,TD,2H,421,JH,9D,6H,4C,1
4H,4C,9S,JS,6H,101,6C,JD,3D,4S,0
8D,9D,TD,2H,2D,127,5D,4S,3S,8C,1
JD,5S,8S,4S,AH,427,KC,2C,KH,9S,0
5C,8C,3D,6S,7D,180,7S,AS,KC,4C,0
JD,5S,KD,2C,AD,133,4D,4C,JC,5D,0
TS,6S,9S,8H,9D,132,6D,5S,5D,9H,0
9C,TD,JH,3D,8S,127,KC,9S,JS,QC,0
6S,QD,2S,KC,8H,273,4H,KS,4S,5C,1
KC,8D,QS,3C,7C,340,2H,QC,3D,2D,1
5C,QD,2D,3S,6C,435,KH,3C,4H,9S,0
JD,JH,7D,6D,AS,389,7C,2D,7S,5D,0
2C,JH,AS,5H,5S,167,6C,KS,2S,4C,0
8H,TD,TS,TC,AS,34,6H,JH,5C,6S,1
QC,3D,TS,7D,JC,217,JD,4H,KD,9S,0
7C,8C,AH,KS,6D,208,2H,AS,JS,4H,1
5C,7S,3D,JD,KS,246,7C,9H,QC,6D,1
5D,4C,KD,AH,JS,496,2H,QS,QH,6D,0
KH,3H,QH,AC,6H,432,8S,3S,AS,TS,0
5D,8C,AH,9C,QH,251,9D,2D,KC,JD,1
